姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
張瑞山,7,男,1955,民主進步黨,21768,10.58%,*,是
張經魁,2,男,1941,中國國民黨,6228,10.11%,*,否
張葉芬英,9,女,1963,民主進步黨,5648,9.24%,*,否
張運炳,8,男,1955,無黨籍及未經政黨推薦,8585,4.78%,*,否
張廖乃綸,1,女,1978,中國國民黨,13196,12.14%,*,是
張廖萬堅,2,男,1965,民主進步黨,25804,23.74%,*,是
張榮志,2,男,1959,中國國民黨,8132,27.90%,*,是
張榮藏,9,男,1942,無黨籍及未經政黨推薦,4322,6.71%,*,是
張漢土,10,男,1952,中國國民黨,3896,14.86%,*,是
張漢忠,6,男,1953,民主進步黨,14269,8.08%,*,是
張維華,6,男,1971,中國國民黨,5994,7.30%,*,否
張肇良,4,男,1964,民主進步黨,13411,24.97%,*,否
張錦昆,3,男,1965,中國國民黨,10786,11.70%,*,是
張錦煌,5,男,1955,民主進步黨,5425,21.35%,*,是
張豐藤,7,男,1961,民主進步黨,15215,8.64%,*,是
張鎮榮,4,男,1952,中國國民黨,7061,24.62%,*,否
張瀚天,13,男,1968,無黨籍及未經政黨推薦,11265,6.85%,*,否
張_分,5,女,1943,中國國民黨,18255,15.06%,*,否
張耀中,7,男,1961,民主進步黨,18290,22.49%,*,是
曹以標,3,男,1963,無黨籍及未經政黨推薦,681,18.17%,*,是
曹丞君,7,女,1976,無黨籍及未經政黨推薦,491,13.10%,*,是
曹明正,11,男,1953,中國國民黨,8128,8.81%,*,是
曹乾舜,3,男,1957,中國國民黨,5243,32.65%,*,是
曹嘉豪,10,男,1981,中國國民黨,9509,8.76%,*,否
梁文傑,5,男,1971,民主進步黨,26155,13.23%,*,是
梁為超,22,男,1974,中國國民黨,10138,5.64%,*,否
梁順發,3,男,1955,民主進步黨,12949,31.32%,*,是
梁禎祥,2,男,1947,民主進步黨,11015,12.63%,*,是
梁銘忠,5,男,1966,無黨籍及未經政黨推薦,7278,12.42%,*,否
莊文斌,4,男,1956,中國國民黨,5476,6.67%,*,是
莊玉珠,5,女,1960,民主進步黨,9815,14.75%,*,是
莊玉輝,18,男,1959,無黨籍及未經政黨推薦,7766,7.84%,*,否
莊枝財,2,男,1953,民主進步黨,3112,7.38%,*,是
莊啟旺,1,男,1954,中國國民黨,22043,14.74%,*,否
莊瑞雄,14,男,1963,民主進步黨,34250,11.49%,*,是
莊榮欽,1,男,1957,中國國民黨,3051,12.95%,*,是
莊錦田,5,男,1953,親民黨,4040,10.15%,*,是
莊豐安,11,男,1965,無黨籍及未經政黨推薦,4849,6.04%,*,否
許文棟,6,男,1955,無黨籍及未經政黨推薦,3085,12.20%,*,是
許月里,2,女,1953,無黨籍及未經政黨推薦,1556,49.47%,*,是
許正鴻,9,男,1982,中國國民黨,22618,12.30%,*,否
許玉昭,1,女,1965,中國國民黨,1804,7.29%,*,是
許至椿,4,男,1960,中國國民黨,10724,16.83%,*,是
許志豪,11,男,1973,民主進步黨,7462,11.32%,*,否
許阿甘,8,女,1946,民主進步黨,5497,9.48%,*,是
許昭興,3,女,1971,民主進步黨,22411,20.96%,*,是
許修睿,2,男,1966,無黨籍及未經政黨推薦,4035,15.95%,*,是
許原龍,2,男,1962,中國國民黨,10848,6.59%,*,是
許家蓓,4,女,1977,民主進步黨,21444,8.91%,*,否
許展維,1,男,1972,民主進步黨,11394,13.92%,*,否
許書維,2,男,1973,民主進步黨,11678,20.01%,*,否
許素霞,5,女,1964,中國國民黨,4898,11.00%,*,是
許國華,1,男,1955,民主進步黨,12608,15.58%,*,是
許崑源,4,男,1957,中國國民黨,20366,15.18%,*,是
許淑華,10,女,1973,民主進步黨,27332,11.35%,*,是
許清順,8,男,1965,民主進步黨,12692,19.78%,*,否
許_,4,女,1963,中國國民黨,7294,11.84%,*,否
許華玉,8,女,1954,中國國民黨,2174,8.78%,*,是
許進榮,1,男,1966,無黨籍及未經政黨推薦,4273,57.11%,*,是
許福森,1,男,1950,中國國民黨,19928,14.18%,*,否
許慧玉,3,女,1967,中國國民黨,18436,16.84%,*,是
許燕道,8,男,1961,無黨籍及未經政黨推薦,1492,6.22%,*,是
許馨勻,11,女,1979,中國國民黨,8463,8.05%,*,是
許櫻萍,13,女,1976,民主進步黨,7145,9.49%,*,否
連恩典,1,男,1958,無黨籍及未經政黨推薦,3375,17.88%,*,否
連斐璠,6,女,1959,中國國民黨,21700,20.30%,*,是
連鳳齊,9,女,1954,無黨籍及未經政黨推薦,6010,9.75%,*,否
郭文居,7,男,1977,中國國民黨,3795,5.89%,*,否
郭再添,7,男,1973,無黨籍及未經政黨推薦,8520,10.41%,*,是
郭西川,8,男,1952,無黨籍及未經政黨推薦,4752,8.24%,*,否
郭秀珠,4,女,1959,無黨籍及未經政黨推薦,16711,25.69%,*,是
郭明賓,5,男,1959,中國國民黨,4764,7.39%,*,是
郭芳宜,6,男,1959,民主進步黨,6263,15.54%,*,是
郭信良,7,男,1963,民主進步黨,18827,19.18%,*,是
郭建盟,2,男,1970,民主進步黨,22770,16.97%,*,是
郭昭巖,11,女,1969,中國國民黨,21782,11.19%,*,是
郭美玉,5,女,1945,中國國民黨,6528,8.42%,*,是
郭國文,4,男,1967,民主進步黨,14203,11.14%,*,是
郭國賓,10,男,1966,無黨籍及未經政黨推薦,14151,14.47%,*,否
郭清華,8,男,1962,民主進步黨,13302,13.55%,*,是
郭榮宗,2,男,1954,民主進步黨,11424,34.59%,*,否
郭遠彰,6,男,1959,中國國民黨,4398,9.95%,*,是
郭蔡美英,3,女,1953,民主進步黨,8762,33.53%,*,否
郭麗華,3,女,1965,民主進步黨,11640,18.14%,*,否
陳一惇,8,男,1974,中國國民黨,9672,14.07%,*,是
陳文弘,3,男,1958,民主進步黨,7142,24.51%,*,否
陳文正,2,男,1946,無黨籍及未經政黨推薦,3246,6.10%,*,是
陳文忠,1,男,1964,無黨籍及未經政黨推薦,6491,10.98%,*,否
陳文昌,2,男,1953,民主進步黨,6847,51.28%,*,否
陳文治,11,男,1967,民主進步黨,20481,6.70%,*,是
陳文漢,7,男,1961,中國國民黨,8982,12.92%,*,否
陳文賢,3,男,1944,民主進步黨,11854,18.22%,*,是
陳世凱,4,男,1977,民主進步黨,20219,17.65%,*,是
陳世榮,8,男,1957,無黨籍及未經政黨推薦,22016,7.72%,*,是
陳本添,7,男,1957,中國國民黨,13642,11.25%,*,是
陳正男,2,男,1948,無黨籍及未經政黨推薦,4298,17.97%,*,是
陳正順,1,男,1954,中國國民黨,5274,52.10%,*,是
陳永福,4,男,1958,民主進步黨,32061,19.81%,*,是
陳永德,1,男,1965,中國國民黨,13825,5.74%,*,是
陳永賢,2,男,1956,中國國民黨,8401,14.08%,*,是
陳玉姬,1,女,1963,無黨籍及未經政黨推薦,7712,12.46%,*,否
陳玉梅,11,女,1966,中國國民黨,28991,15.43%,*,是
陳光軒,5,男,1985,民主進步黨,7417,12.43%,*,否
陳光輝,5,男,1955,無黨籍及未經政黨推薦,11328,16.48%,*,否
陳成添,7,男,1963,中國國民黨,16192,12.08%,*,是
陳有江,3,男,1938,中國國民黨,14955,20.00%,*,否
陳江山,3,男,1959,中國國民黨,5153,27.30%,*,是
陳百川,19,男,1960,中國國民黨,1990,6.35%,*,否
陳宏宗,1,男,1958,中國國民黨,3951,35.78%,*,是
陳志成,1,男,1963,無黨籍及未經政黨推薦,10471,9.96%,*,否
陳志峰,3,男,1965,無黨籍及未經政黨推薦,2887,6.45%,*,是
陳志謀,1,男,1958,民主進步黨,16137,26.35%,*,否
陳秀_,3,女,1972,民主進步黨,11393,11.65%,*,是
陳秀寶,9,女,1972,無黨籍及未經政黨推薦,9666,11.08%,*,否
陳見賢,3,男,1960,中國國民黨,7812,11.21%,*,是
陳幸枝,17,女,1960,民主進步黨,4653,5.80%,*,是
陳幸進,13,男,1943,中國國民黨,20819,7.14%,*,是
陳怡岳,7,男,1974,民主進步黨,6995,12.80%,*,是
陳怡珍,1,女,1981,民主進步黨,22012,34.55%,*,是
陳明朝,1,男,1952,中國國民黨,6720,9.24%,*,是
陳明達,8,男,1963,民主進步黨,6833,7.74%,*,否
陳明澤,2,男,1963,民主進步黨,22482,27.62%,*,是
陳東財,7,男,1951,民主進步黨,3819,14.57%,*,是
陳河山,8,男,1955,中國國民黨,4227,5.66%,*,否
陳治文,10,女,1970,民主進步黨,13080,29.42%,*,否
陳治雄,3,男,1959,中國國民黨,4388,27.46%,*,否
陳玫娟,10,女,1962,中國國民黨,15980,9.08%,*,是
陳芳琍,3,女,1968,民主進步黨,7996,9.06%,*,否
陳金鐘,3,男,1960,民主進步黨,11885,13.72%,*,否
陳金麟,3,男,1954,中國國民黨,7339,32.75%,*,是
陳俊宇,2,男,1975,民主進步黨,5257,29.28%,*,否
陳俊龍,15,男,1969,無黨籍及未經政黨推薦,5942,7.22%,*,是
陳保仁,1,男,1955,中國國民黨,6893,17.11%,*,是
陳信瑜,2,女,1968,民主進步黨,20414,11.21%,*,是
陳姿妏,1,女,1962,無黨籍及未經政黨推薦,4880,6.08%,*,否
陳建光,1,男,1952,中國國民黨,412,100.00%,*,是
陳建銘,17,男,1961,台灣團結聯盟,20952,6.85%,*,是
陳彥伯,1,男,1969,新黨,15302,4.96%,*,是
陳政忠,19,男,1955,無黨籍及未經政黨推薦,16623,5.43%,*,是
陳政聞,5,男,1977,民主進步黨,22685,16.91%,*,是
陳政顯,3,男,1963,中國國民黨,18082,23.47%,*,否
陳春暖,1,女,1964,民主進步黨,6972,27.18%,*,否
陳昭煜,5,男,1962,民主進步黨,9915,31.27%,*,是
陳柏麟,6,男,1969,民主進步黨,7626,14.12%,*,是
陳炳甫,1,男,1971,中國國民黨,19808,10.02%,*,否
陳秋萍,2,女,1964,民主進步黨,13100,10.27%,*,是
陳秋蓉,12,女,1966,民主進步黨,13011,11.98%,*,否
陳科名,12,男,1970,民主進步黨,27269,8.93%,*,是
陳美梅,15,女,1974,中國國民黨,10092,5.60%,*,否
陳美雅,6,女,1970,中國國民黨,15819,16.58%,*,是
陳美瓊,19,女,1959,中國國民黨,5605,5.42%,*,是
陳致中,13,男,1979,無黨籍及未經政黨推薦,32947,16.83%,*,否
陳英樓,1,男,1956,中國國民黨,7157,36.88%,*,是
陳茂源,9,男,1970,無黨籍及未經政黨推薦,6539,7.94%,*,否
陳重文,9,男,1977,中國國民黨,13299,4.35%,*,否
陳重嘉,8,男,1981,無黨籍及未經政黨推薦,8589,12.36%,*,是
陳倩月,6,女,1972,無黨籍及未經政黨推薦,6457,21.43%,*,否
陳振中,4,男,1963,中國國民黨,1958,26.77%,*,否
陳書建,6,男,1957,中國國民黨,445,11.87%,*,否
陳_維,5,男,1965,無黨籍及未經政黨推薦,7242,18.70%,*,是
陳海山,9,男,1950,無黨籍及未經政黨推薦,2530,8.07%,*,是
陳特清,7,男,1957,無黨籍及未經政黨推薦,15529,15.25%,*,是
陳素月,2,女,1966,民主進步黨,13888,15.06%,*,是
陳_源,5,男,1966,無黨籍及未經政黨推薦,7699,20.68%,*,是
陳啟能,18,男,1959,民主進步黨,24841,8.52%,*,是
陳啟源,6,男,1966,無黨籍及未經政黨推薦,4097,13.06%,*,否
陳淑惠,2,女,1957,中國國民黨,5423,17.10%,*,是
陳淑華,8,女,1970,民主進步黨,19896,18.30%,*,是
陳清全,7,男,1949,無黨籍及未經政黨推薦,4124,7.62%,*,是
陳清龍,1,男,1965,無黨籍及未經政黨推薦,21806,17.99%,*,是
陳凱榮,14,男,1962,中國國民黨,4198,6.02%,*,否
陳朝來,3,男,1953,民主進步黨,12598,20.59%,*,是
陳貴忠,1,男,1961,中國國民黨,438,33.43%,*,是
陳貽斌,2,男,1969,中國國民黨,465,60.07%,*,否
陳進雄,5,男,1949,無黨籍及未經政黨推薦,11101,15.63%,*,否
陳慈慧,20,女,1983,民主進步黨,22688,7.42%,*,否
陳滄江,3,男,1955,民主進步黨,1491,6.02%,*,是
陳瑞雄,10,男,1960,中國國民黨,4959,6.02%,*,是
陳義洲,2,男,1952,中國國民黨,17693,8.08%,*,是
陳漢清,4,男,1977,中國國民黨,5274,8.84%,*,否
陳漢鍾,1,男,1971,無黨籍及未經政黨推薦,6679,19.64%,*,否
陳碧峰,3,男,1944,民主進步黨,16367,5.49%,*,是
陳碧華,15,女,1954,中國國民黨,6421,8.83%,*,是
陳福山,1,男,1957,無黨籍及未經政黨推薦,5485,34.96%,*,是
陳福成,8,男,1958,無黨籍及未經政黨推薦,7306,12.36%,*,否
陳粹鑾,15,女,1966,中國國民黨,13607,7.70%,*,是
陳鳳梅,1,女,1961,民主進步黨,9476,28.20%,*,是
陳儀君,8,女,1973,中國國民黨,25063,15.49%,*,是
陳慧文,11,女,1974,民主進步黨,20876,11.82%,*,是
陳慧玲,6,女,1962,民主進步黨,2176,6.94%,*,否
陳蔣秀美,7,女,1961,中國國民黨,11484,6.98%,*,否
陳樹吉,8,男,1955,無黨籍及未經政黨推薦,5712,10.09%,*,是
陳翰立,13,男,1979,民主進步黨,6456,7.87%,*,是
陳賴素美,5,女,1964,民主進步黨,15882,22.19%,*,否
陳錦祥,5,男,1959,中國國民黨,17165,5.56%,*,是
陳錦錠,1,女,1954,中國國民黨,26290,12.78%,*,是
陳鴻源,2,男,1967,中國國民黨,19967,18.68%,*,是
陳鴻禧,6,男,1959,中國國民黨,5013,14.74%,*,是
陳雙全,12,男,1961,中國國民黨,2337,7.45%,*,是
陳麗珍,8,女,1966,中國國民黨,21050,11.96%,*,是
陳麗娜,7,女,1970,中國國民黨,21007,11.54%,*,是
陳麗莉,7,女,1957,中國國民黨,9454,14.73%,*,否
陳孋輝,7,女,1962,中國國民黨,14307,5.94%,*,是
陳顯興,4,男,1956,中國國民黨,3300,7.36%,*,是
陸美祈,2,女,1971,民主進步黨,10323,11.92%,*,是
陸淑美,2,女,1962,中國國民黨,17650,13.16%,*,是
_玉芬,18,女,1982,無黨籍及未經政黨推薦,14637,8.90%,*,否
_育寬,5,男,1956,民主進步黨,6538,3.97%,*,是
傅大偉,6,男,1963,中國國民黨,4992,7.75%,*,是
傅淑香,9,女,1958,民主進步黨,13736,9.68%,*,否
彭成龍,6,男,1956,民主進步黨,17195,6.03%,*,是
彭余美玲,3,女,1963,無黨籍及未經政黨推薦,5608,12.69%,*,否
彭俊豪,7,男,1982,民主進步黨,12967,7.22%,*,否
曾水源,3,男,1949,中國國民黨,3873,20.49%,*,是
曾王雅雲,5,女,1962,民主進步黨,14954,14.69%,*,是
曾世勇,21,男,1960,中國國民黨,6893,4.19%,*,是
曾亮哲,5,男,1969,民主進步黨,6808,12.60%,*,是
曾俊傑,8,男,1976,中國國民黨,14899,8.43%,*,是
曾紀嚴,8,男,1976,中國國民黨,3280,13.92%,*,否
曾振炎,9,男,1961,中國國民黨,6878,8.38%,*,否
曾培雅,4,女,1959,中國國民黨,14586,16.84%,*,是
曾朝榮,8,男,1961,民主進步黨,20068,14.97%,*,是
曾順良,8,男,1956,無黨籍及未經政黨推薦,11404,13.17%,*,是
曾煥嘉,1,男,1976,中國國民黨,21807,7.96%,*,是
曾義雄,5,男,1961,中國國民黨,6955,6.80%,*,是
曾資程,20,男,1966,民主進步黨,4944,7.67%,*,是
曾福金,15,男,1957,民主進步黨,7152,6.80%,*,否
曾勳任,9,男,1936,民主進步黨,7443,7.53%,*,是
曾麗燕,10,女,1953,中國國民黨,22162,12.17%,*,是
游吾和,2,男,1963,民主進步黨,16783,40.88%,*,否
游宏達,15,男,1969,無黨籍及未經政黨推薦,6252,7.62%,*,是
游忠鈿,1,男,1954,中國國民黨,7986,13.39%,*,是
游美雲,1,女,1960,民主進步黨,3793,7.82%,*,是
游振雄,6,男,1962,中國國民黨,7954,7.32%,*,是
游淑貞,2,女,1967,無黨籍及未經政黨推薦,4476,9.23%,*,否
游祥德,5,男,1952,民主進步黨,5557,20.05%,*,是
游祥耀,3,男,1952,民主進步黨,3478,14.76%,*,是
游輝_,5,男,1983,無黨籍及未經政黨推薦,24703,12.01%,*,否
游輝廷,7,男,1953,無黨籍及未經政黨推薦,18244,7.90%,*,否
湯維岳,11,男,1948,無黨籍及未經政黨推薦,5378,7.14%,*,否
童仲彥,6,男,1973,民主進步黨,19546,10.04%,*,是
舒翠玲,5,女,1964,中國國民黨,8712,8.79%,*,否
黃天煌,5,男,1962,中國國民黨,15116,15.32%,*,是
黃文祥,5,男,1962,無黨籍及未經政黨推薦,7913,13.74%,*,是
黃正男,11,男,1941,民主進步黨,4312,6.05%,*,是
黃正盛,1,男,1978,中國國民黨,7825,7.21%,*,否
黃永昌,11,男,1962,中國國民黨,18070,6.33%,*,是
黃永傳,4,男,1945,中國國民黨,6746,17.42%,*,是
黃石龍,6,男,1954,無黨團結聯盟,14103,8.01%,*,是
黃向_,3,男,1970,民主進步黨,16248,8.21%,*,否
黃秀芳,6,女,1971,民主進步黨,15592,9.48%,*,是
黃秀珠,7,女,1959,民主進步黨,14972,16.54%,*,否
黃育寬,17,男,1956,民主進步黨,6744,4.56%,*,否
黃定和,12,男,1958,中國國民黨,6871,14.33%,*,否
黃明榮,14,男,1952,民主進步黨,9334,9.45%,*,是
黃林玲玲,9,女,1942,中國國民黨,25082,8.21%,*,是
黃芳蘭,5,女,1962,無黨籍及未經政黨推薦,7174,12.14%,*,否
黃金茂,1,男,1955,中國國民黨,8895,27.32%,*,否
黃俊哲,6,男,1978,民主進步黨,21625,7.89%,*,否
黃建勇,2,男,1958,中國國民黨,5336,34.01%,*,否
黃建溢,9,男,1981,民主進步黨,7563,7.20%,*,否
黃柏霖,7,男,1967,中國國民黨,21003,11.89%,*,是
黃珊珊,5,女,1969,親民黨,28020,12.80%,*,是
黃盈智,3,男,1972,民主進步黨,5304,8.23%,*,否
黃秋,16,女,1959,無黨籍及未經政黨推薦,4135,9.24%,*,是
黃秋澤,14,男,1958,無黨籍及未經政黨推薦,4873,7.56%,*,是
黃美慧,5,女,1968,無黨籍及未經政黨推薦,3262,6.03%,*,否
黃香菽,2,女,1981,中國國民黨,16801,9.51%,*,否
黃振彥,8,男,1965,民主進步黨,13221,15.16%,*,是
黃振富,4,男,1967,民主進步黨,4031,8.31%,*,是
黃浴沂,3,男,1952,中國國民黨,5224,29.10%,*,是
黃素琴,5,女,1964,民主進步黨,5640,16.59%,*,是
黃健彰,14,男,1985,無黨籍及未經政黨推薦,8948,6.05%,*,否
黃國安,18,男,1954,中國國民黨,6333,6.13%,*,是
黃國書,4,男,1964,民主進步黨,14729,21.02%,*,是
黃婉如,5,女,1954,中國國民黨,11162,6.20%,*,否
黃淑美,16,女,1959,台灣團結聯盟,11899,6.73%,*,是
黃淑鈴,7,女,1961,民主進步黨,5553,8.43%,*,否
黃紹庭,1,男,1970,中國國民黨,14995,11.17%,*,否
黃傅淑香,4,女,1958,民主進步黨,11794,6.56%,*,否
黃傑,4,男,1958,民主進步黨,7117,12.06%,*,是
黃凱,2,男,1974,無黨籍及未經政黨推薦,6759,8.21%,*,是
黃勝賢,6,男,1967,無黨籍及未經政黨推薦,5930,10.29%,*,否
黃斯平,10,女,1984,無黨籍及未經政黨推薦,6072,7.83%,*,否
黃景泰,4,男,1965,中國國民黨,4199,26.95%,*,是
黃景熙,10,男,1959,民主進步黨,12916,7.17%,*,否
黃進一,3,男,1966,無黨籍及未經政黨推薦,6233,8.55%,*,是
黃嫈珺,2,女,1983,民主進步黨,9944,18.20%,*,是
黃敬平,4,男,1973,中國國民黨,9982,10.07%,*,否
黃瑞華,3,男,1952,中國國民黨,4185,37.90%,*,否
黃鈺惠,7,女,1964,無黨籍及未經政黨推薦,5700,6.92%,*,否
黃適超,3,男,1961,民主進步黨,6329,30.04%,*,是
黃錦成,4,男,1961,民主進步黨,8355,15.29%,*,否
黃錫嘉,6,男,1958,無黨籍及未經政黨推薦,16451,14.36%,*,是
黃聲全,7,男,1952,無黨籍及未經政黨推薦,4956,6.81%,*,否
黃馨慧,3,女,1956,中國國民黨,17712,16.29%,*,是
黃露慧,12,女,1967,民主進步黨,5967,9.26%,*,是
楊中成,7,男,1958,台灣團結聯盟,12972,10.17%,*,否
楊文值,5,男,1955,中國國民黨,4871,11.56%,*,是
楊正中,4,男,1954,中國國民黨,15562,14.31%,*,是
楊永立,10,男,1959,中國國民黨,1662,6.71%,*,是
楊永昌,5,男,1951,中國國民黨,18519,24.74%,*,是
楊石城,4,男,1962,中國國民黨,8120,31.96%,*,是
楊石龍,1,男,1959,無黨籍及未經政黨推薦,2984,100.00%,*,否
楊見福,9,男,1952,無黨籍及未經政黨推薦,13428,7.60%,*,否
楊典忠,8,男,1960,民主進步黨,22996,17.67%,*,是
楊政誠,2,男,1943,中國國民黨,5035,18.17%,*,是
楊家俍,8,男,1980,民主進步黨,8736,8.82%,*,否
楊恭林,3,男,1961,無黨籍及未經政黨推薦,6791,26.47%,*,是
楊淑鳳,6,女,1958,中國國民黨,8257,13.34%,*,是
楊朝偉,5,男,1967,中國國民黨,7264,16.34%,*,否
楊順木,4,男,1950,無黨籍及未經政黨推薦,3754,7.83%,*,否
楊敬賜,1,男,1953,中國國民黨,6442,9.24%,*,否
楊萬山,4,男,1967,中國國民黨,1749,7.06%,*,否
楊福建,3,男,1955,民主進步黨,10011,16.18%,*,是
楊應雄,3,男,1957,中國國民黨,1384,9.84%,*,是
楊曜,6,男,1966,民主進步黨,2420,8.54%,*,是
溫志強,11,男,1970,中國國民黨,5727,10.85%,*,是
萬美玲,1,女,1969,中國國民黨,16724,9.29%,*,否
葉竹林,13,男,1962,中國國民黨,2372,8.37%,*,是
葉和平,4,男,1948,民主進步黨,7269,18.04%,*,是
葉孟龍,6,男,1981,民主進步黨,7412,12.54%,*,是
葉明月,11,女,1960,中國國民黨,8567,4.77%,*,否
葉明博,6,男,1956,中國國民黨,8824,10.90%,*,是
葉明縣,3,男,1955,無黨籍及未經政黨推薦,1340,48.56%,*,是
葉林傳,7,男,1969,中國國民黨,21531,10.89%,*,是
葉芬英,8,女,1963,民主進步黨,4421,6.34%,*,是
葉國雄,5,男,1966,民主進步黨,9804,10.03%,*,否
葉寧鋒,3,男,1951,無黨籍及未經政黨推薦,11199,12.84%,*,否
葉鯤璟,3,男,1954,無黨籍及未經政黨推薦,4135,8.53%,*,是
葉麗娟,3,女,1954,中國國民黨,7074,6.51%,*,是
董國誠,2,男,1961,無黨籍及未經政黨推薦,7403,12.25%,*,否
詹江村,18,男,1963,中國國民黨,9661,5.36%,*,否
詹金繪,3,女,1957,民主進步黨,6107,15.16%,*,是
詹春陽,6,男,1947,民主進步黨,4944,19.90%,*,是
詹家甄,9,女,1978,中國國民黨,8594,14.56%,*,否
詹琬蓁,4,女,1977,無黨籍及未經政黨推薦,6525,10.80%,*,否
詹黃素蓮,2,女,1953,中國國民黨,8618,15.95%,*,是
廖天隆,14,男,1946,無黨籍及未經政黨推薦,4716,5.88%,*,是
廖本煙,12,男,1956,民主進步黨,19699,6.91%,*,否
廖正良,4,男,1954,中國國民黨,22992,21.23%,*,是
廖志城,6,男,1962,民主進步黨,8467,14.60%,*,是
廖宜賢,7,男,1950,中國國民黨,5174,8.02%,*,是
廖秋萍,7,女,1977,民主進步黨,10524,17.96%,*,是
廖英利,9,女,1953,中國國民黨,5904,8.11%,*,否
廖梓佑,10,女,1958,民主進步黨,7007,10.86%,*,是
廖筱清,5,女,1956,民主進步黨,22880,14.14%,*,否
廖裕德,3,男,1951,無黨籍及未經政黨推薦,19739,7.20%,*,是
廖錦珠,4,女,1957,無黨籍及未經政黨推薦,6795,11.59%,*,是
趙正宇,9,男,1966,無黨籍及未經政黨推薦,12478,14.60%,*,否
趙昆原,1,男,1956,無黨籍及未經政黨推薦,12670,19.00%,*,是
劉士州,5,男,1962,中國國民黨,12441,15.30%,*,是
劉仁照,2,男,1981,民主進步黨,8826,8.91%,*,否
劉水復,6,男,1956,無黨籍及未經政黨推薦,7596,9.28%,*,是
劉正昌,1,男,1955,民主進步黨,15689,15.41%,*,否
劉育豪,16,男,1967,民主進步黨,5980,5.79%,*,是
劉良彬,2,男,1960,中國國民黨,5948,32.91%,*,是
劉秋東,5,男,1964,中國國民黨,6617,13.47%,*,是
劉美芳,11,女,1978,中國國民黨,18343,6.69%,*,是
劉茂_,6,女,1956,中國國民黨,8068,9.44%,*,否
劉哲彰,2,男,1972,中國國民黨,26126,16.14%,*,是
劉淑芳,2,女,1959,中國國民黨,10781,15.93%,*,是
劉添梧,2,男,1948,民主進步黨,5551,16.32%,*,是
劉陳昭玲,2,女,1956,中國國民黨,3027,9.66%,*,是
劉勝全,6,男,1969,無黨籍及未經政黨推薦,9771,15.22%,*,否
劉惠娟,7,女,1972,中國國民黨,9529,8.78%,*,否
劉景滄,1,男,1970,無黨籍及未經政黨推薦,10159,17.41%,*,否
劉曾玉春,9,女,1954,無黨籍及未經政黨推薦,10366,5.77%,*,否
劉淼松,3,男,1966,中國國民黨,7877,7.49%,*,是
劉敬祥,2,男,1964,民主進步黨,8020,13.59%,*,是
劉德林,12,男,1961,中國國民黨,15886,8.99%,*,是
劉曉玫,9,女,1973,民主進步黨,3522,8.35%,*,是
劉錦昌,1,男,1959,民主進步黨,15708,30.68%,*,是
劉聲正,15,男,1959,台灣團結聯盟,3340,5.18%,*,否
劉寶鈴,7,女,1969,無黨籍及未經政黨推薦,9662,19.67%,*,是
劉耀仁,8,男,1968,民主進步黨,17303,8.89%,*,是
劉馨正,1,男,1954,中國國民黨,14325,19.75%,*,否
厲耿桂芳,3,女,1946,中國國民黨,15712,5.09%,*,是
歐中慨,15,男,1958,中國國民黨,3235,11.42%,*,否
歐炳辰,4,男,1957,無黨籍及未經政黨推薦,11347,34.36%,*,否
歐陽洲,2,男,1972,無黨籍及未經政黨推薦,1797,24.57%,*,是
歐陽蓁珠,6,女,1955,民主進步黨,10074,14.50%,*,是
歐陽儀雄,12,男,1973,中國國民黨,1567,6.33%,*,否
歐陽龍,8,男,1960,中國國民黨,27123,8.80%,*,是
潘一全,10,男,1970,中國國民黨,6704,11.56%,*,是
潘長成,5,男,1965,台灣團結聯盟,6487,6.17%,*,是
潘淑真,4,女,1965,民主進步黨,9428,9.54%,*,是
潘淑_,14,女,1965,民主進步黨,6271,5.97%,*,是
潘連周,13,男,1964,無黨籍及未經政黨推薦,8841,8.95%,*,是
潘富民,6,男,1958,中國國民黨,3960,21.77%,*,是
潘懷宗,4,男,1961,新黨,25188,8.23%,*,是
蔡文旭,12,男,1963,民主進步黨,4733,5.90%,*,是
蔡文益,1,男,1972,中國國民黨,6226,38.77%,*,是
蔡水游,9,男,1957,中國國民黨,1372,8.41%,*,是
蔡平偉,13,男,1972,無黨籍及未經政黨推薦,5292,8.35%,*,否
蔡永芳,10,男,1971,民主進步黨,12221,14.30%,*,否
蔡永泉,16,男,1952,台灣團結聯盟,4666,7.24%,*,是
蔡成圭,1,男,1960,民主進步黨,23090,40.11%,*,是
蔡育輝,5,男,1959,中國國民黨,12043,18.06%,*,是
蔡奇璋,9,男,1960,中國國民黨,6727,12.31%,*,是
蔡孟真,7,女,1977,無黨籍及未經政黨推薦,9664,16.78%,*,是
蔡宗智,17,男,1979,無黨籍及未經政黨推薦,6744,8.22%,*,否
蔡宜助,4,男,1979,中國國民黨,6327,14.22%,*,是
蔡岳儒,1,男,1975,民主進步黨,10485,18.20%,*,是
蔡旺詮,7,男,1968,民主進步黨,11602,13.39%,*,是
蔡旺璉,7,男,1954,中國國民黨,4204,15.38%,*,是
蔡昌達,7,男,1970,民主進步黨,16763,16.99%,*,是
蔡明堂,9,男,1958,中國國民黨,25538,8.76%,*,否
蔡明源,7,男,1947,中國國民黨,5812,7.74%,*,是
蔡東富,4,男,1959,無黨籍及未經政黨推薦,5951,10.52%,*,是
